Name,Icon,Color,URL
Perpustakaan,fa-solid fa-font,#01a3a3,
Mengenal Abjad,fa-solid fa-font,#01a3a4,lainnya/abjad/alphabet.html
Mengenal Angka,fa-solid fa-list-ol,#0abde3,lainnya/abjad/angka.html
Tes IQ,fa-solid fa-brain,#ff9f43,lainnya/testiq/menuinstruksi.html
Lagu Anak-Anak,fa-solid fa-drum,#54a0ff,lainnya/lagu_anak.html
Kamus Sederhana,fa-solid fa-earth-americas,#8c7ae6,lainnya/kamus.html
Kalkulator Sederhana,fa-solid fa-calculator,#353b48,lainnya/kalkulator.html
Menggambar,fa-solid fa-palette,#e84118,lainnya/canvas.html
Mengenal Huruf Hiragana,fa-solid fa-comments,#82ccdd,lainnya/tabeldasarhiragana.html
Mengenal Huruf Katakana,fa-solid fa-comments,#f8c291,lainnya/tabeldasarkatakana.html
