ID,Name,Description,ImageURL,GameURL,Orientation,Locked,UnlockPrice
1,Basket Ball,Mini gam basket ball,https://deriskn96.github.io/letikulin/icon/icon_basketball.png,https://deriskn96.github.io/basketball/,portrait,FALSE,
2,Tower Block,Tumpuk block rumah sampai tinggi,https://deriskn96.github.io/letikulin/icon/towerdropblock.png,https://deriskn96.github.io/letikulin/towerdropblock/index.html,portrait,FALSE,
3,Ball And Target,Tembak Bola ke target dan dapatkan score,https://deriskn96.github.io/letikulin/ballandtarget/icon-256.png,https://deriskn96.github.io/letikulin/ballandtarget/index.html,landscape,FALSE,
4,Christmas & Math,Tebak cepat matematika dengan tema natal,https://deriskn96.github.io/letikulin/christmas&math/icon-256.png,https://deriskn96.github.io/letikulin/christmas&math/index.html,portrait,FALSE,
5,Circle Clock,Asah kecepatan tangan dalam menentukan warna berdasarkan arah lingkaran seperti waktu,https://deriskn96.github.io/letikulin/circleclock/icon-256.png,https://deriskn96.github.io/letikulin/circleclock/index.html,portrait,FALSE,
6,Color Candy,Asah kecepatan tangan dalam menentukan warna berdasarkan arah lingkaran seperti waktu,https://deriskn96.github.io/letikulin/colorcandy/icon-256.png,https://deriskn96.github.io/letikulin/colorcandy/index.html,portrait,FALSE,
7,Color Side,Asah kecapatan tangan dalam mengingat warna,https://deriskn96.github.io/letikulin/icon/icon_colorside.png,https://deriskn96.github.io/letikulin/colorside/index.html,portrait,FALSE,
8,Dangerous Circle,Asah kecapatan tangan dalam mengingat warna,https://deriskn96.github.io/letikulin/dangerouscircle/icon-256.png,https://deriskn96.github.io/letikulin/dangerouscircle/index.html,portrait,FALSE,
9,Dangerous Turn,Asah kecapatan tangan dalam mengingat warna,https://deriskn96.github.io/letikulin/dangerousturn/icon-256.png,https://deriskn96.github.io/letikulin/dangerousturn/index.html,portrait,FALSE,
10,Driver Cepat,Mini game balap mobil yang ugal ugalan,https://deriskn96.github.io/letikulin/drivercepat/icon-256.png,https://deriskn96.github.io/letikulin/drivercepat/index.html,portrait,FALSE,
11,Eatabel Number,Makan angka kecil sambil menghindar angka besar,https://deriskn96.github.io/letikulin/eatablenumbers/icon-256.png,https://deriskn96.github.io/letikulin/eatablenumbers/index.html,landscape,FALSE,
12,Fishing,Game mancing yang santai untuk menentang pikiran,https://deriskn96.github.io/letikulin/fishing/icon-256.png,https://deriskn96.github.io/letikulin/fishing/index.html,portrait,FALSE,
13,Go Bowling,Mini game bowling yang seru,https://deriskn96.github.io/letikulin/gobowling/icon-256.png,https://deriskn96.github.io/letikulin/gobowling/index.html,portrait,FALSE,
14,Knife Ninja,Tembak Pisau pada putaran buah seperti ninja,https://deriskn96.github.io/letikulin/icon/knifeninja.png,https://deriskn96.github.io/letikulin/knifeninja/index.html,portrait,FALSE,
15,Emoji Pong,Main pong dengan tampilan emoji yang lucu,https://deriskn96.github.io/letikulin/emojipong/icon-256.png,https://deriskn96.github.io/letikulin/fishing/index.html,portrait,FALSE,
16,Kompetensi Berlian,Mini Game yang seru dan asik,https://deriskn96.github.io/letikulin/kompetensiberlian/icon-256.png,https://deriskn96.github.io/letikulin/kompetensiberlian/index.html,portrait,FALSE,
17,Kuis Tebak Angka,Mini game yang mengasah kecepatan dalam menghitung,https://deriskn96.github.io/letikulin/icon/kuistebakangka.png,https://deriskn96.github.io/letikulin/kuistebakangka/index.html,portrait,FALSE,
18,Neon Path,Jalan neon yang penuh kesulitan,https://deriskn96.github.io/letikulin/neonpath/icon-256.png,https://deriskn96.github.io/letikulin/neonpath/index.html,portrait,FALSE,
19,Penalty,Seberapa banyak kamu mencetak gol di saat penalty,https://deriskn96.github.io/letikulin/icon/penalty.png,https://deriskn96.github.io/letikulin/penalty/index.html,portrait,FALSE,
20,Permen Diamond,Game permen diamond yang manis,https://deriskn96.github.io/letikulin/icon/permendiamond.png,https://deriskn96.github.io/letikulin/permendiamond/index.html,portrait,FALSE,
21,Tap Tap Fruits,Pencet buah buahan sampai dapat nilai tertinggi,https://deriskn96.github.io/letikulin/icon/tapfruits.png,https://deriskn96.github.io/letikulin/taptapfruits/index.html,portrait,FALSE,
22,Tebak Lagu,Tebak Lagu yang kamu ketahui,https://deriskn96.github.io/letikulin/icon/icon_tebaklagu.png,https://deriskn96.github.io/letikulin/tebaklagu/index.html,portrait,FALSE,
23,Tnt Tap,Awas ada boooooomm,https://deriskn96.github.io/letikulin/tnttap/icon-256.png,https://deriskn96.github.io/letikulin/tnttap/index.html,portrait,FALSE,
24,Volley Ball,Main volly sambil melatih kecepatan dan kesetabilan tangan,https://deriskn96.github.io/letikulin/volleyball/icon-256.png,https://deriskn96.github.io/letikulin/volleyball/index.html,portrait,FALSE,
